OG,theta,sigma2,alpha,beta,results
OG0008607,3.487912656,88.15728931,972.7411233,8.626759417,0.019836577
OG0010218,7.41488613,156.2840971,87.00350483,0.027928632,0.019951876
OG0001895,3.986285571,131.7435983,111.2478047,2.586617593,0.019999518
OG0002082,6.256146936,70.41149733,70.47457572,2.45813464,0.020065859
OG0003113,8.151459807,45.93632842,6.06889334,0.027935119,0.020222707
OG0008493,7.306906844,130.7226982,939.3346002,7.734282013,0.020337622
OG0007946,8.998191319,29.77620735,10.87021573,0.028212953,0.020408867
OG0006589,10.78576831,375.6146252,73.48357326,0.028124864,0.020491067
OG0003791,5.009199211,34.81899475,10.20036728,0.028142607,0.02062944
OG0009264,6.90351355,23.3189143,79.84166356,2.324559573,0.020652411
OG0008589,6.921467801,3.961358978,78.03710604,4.005530362,0.020681576
OG0010199,5.945884237,157.1284379,76.93063829,0.028242919,0.020749982
OG0009498,7.96672425,8.027152824,66.29998,2.555696969,0.020797285
OG0004905,7.522116254,7.217032296,3.336000554,0.027293332,0.020804259
OG0008927,8.448868526,4.365186688,76.1707848,4.655721244,0.020847806
OG0003179,2.58229744,77.78546446,71.64213268,1.793348319,0.020863003
OG0009235,3.999448676,914.501275,156.4254339,0.028459241,0.021255461
OG0002060,8.11591963,38.28764211,60.62938017,1.655316175,0.021307859
OG0003363,6.76537422,63.40292519,999,13.47750654,0.021406439
OG0000238,9.647614931,11.63691477,60.87243372,2.569585451,0.021448642
OG0008932,6.677795958,6.063373117,268.7079101,6.081944975,0.021449621
OG0010486,5.195535314,25.64725473,173.1049145,3.392500003,0.0215176
OG0009707,8.181736115,128.5029257,999,13.55455103,0.021520612
OG0001655,7.023203811,11.24403156,66.05093463,3.817600117,0.021587463
OG0008362,7.582590471,370.5704383,73.91764321,0.028555243,0.021849321
OG0004802,9.121669029,63.19978743,77.04754269,0.028576141,0.021862807
OG0003018,3.864386064,225.1249861,999,7.250403096,0.021870065
OG0006060,5.516544997,3.489116567,73.77155586,2.253452796,0.021944985
OG0002647,7.79961498,31.8405599,13.82062303,0.028651372,0.022036618
OG0002542,6.813179997,135.7990119,67.01239689,0.028820821,0.022424824
OG0007014,8.877332761,23.21520841,999,6.048627188,0.022429198
OG0010976,5.802319695,70.34763537,9.385013356,0.02886602,0.02247232
OG0009596,7.015287319,102.4488206,946.0587122,12.48703916,0.022507426
OG0006238,5.572068342,13.09323999,71.0998601,2.099600874,0.022509109
OG0008778,6.946709022,5.747680758,75.15533588,2.550277089,0.02257869
OG0009842,10.00630681,29.14063059,68.91190164,0.028801695,0.022584983
OG0004839,6.973759615,5.667169438,71.4507728,1.955063749,0.022697566
OG0007327,7.391127173,3.301513741,999,36.3236741,0.022872224
OG0004732,7.832070841,49.35057958,12.19597723,0.0289733,0.022889896
OG0010795,8.784709643,3.040173219,996.7961527,34.38191788,0.022889992
OG0000600,9.649011616,300.7411967,69.91611432,0.028932381,0.022890783
OG0006107,6.409052839,11.40337226,121.1791975,3.441996916,0.022903351
OG0010622,7.683727121,61.88230902,971.742616,21.04045681,0.022962837
OG0003251,4.371165005,37.56067448,71.38886601,2.46229191,0.023015691
OG0001695,9.950716565,9.688263417,247.720323,3.134065511,0.023050617
OG0000583,8.838130468,210.2766219,535.6122652,6.082966989,0.023052613
OG0000775,7.686840113,47.08687633,999,12.93267911,0.023108517
OG0001117,6.517803038,27.04896457,71.83452711,2.3553432,0.023122505
OG0000083,8.474944994,349.9582301,67.91984313,0.028922567,0.023147521
OG0008725,7.886598034,5.754759318,999,14.56812806,0.023170168
OG0004576,11.20481471,0.177257979,51.50752489,99,0.023204306
OG0006230,8.082530506,0.471166114,55.42648124,99,0.02324035
OG0003483,7.16567447,0.093722503,60.3107214,99,0.023262523
OG0003943,7.918043144,3.33745903,992.1154665,54.08203246,0.023293042
OG0005978,8.206035948,8.831084367,996.5873631,17.33074723,0.023378785
OG0009447,7.935664652,0.155019401,50.72058727,99,0.023434857
OG0000483,7.662615306,53.82043235,61.98753114,3.518392733,0.023487337
OG0008633,7.295936647,6.628043709,82.83593452,1.339575926,0.023501332
OG0005383,6.5241154,25.51702622,53.10390049,2.616316703,0.023532002
OG0002574,7.067714127,0.133262433,62.60474955,99,0.023532864
OG0006027,6.042018347,0.386795848,61.77137552,99,0.023544913
OG0002386,7.608804606,0.1683149,67.92779286,99,0.023550762
OG0008627,3.88398082,0.1730899,61.35722869,99,0.023555054
OG0002544,7.006716383,42.07431265,934.0045311,11.15727691,0.023557036
OG0007957,5.538670239,1.332362502,40.98206689,99,0.023558938
OG0009285,5.703196459,0.280449995,56.81158849,99,0.023561206
OG0009894,6.695251224,4.950044349,84.69431497,1.8737136,0.023588554
OG0006550,5.944272373,204.8281486,71.94739525,0.029095256,0.023639962
OG0009924,6.509270636,0.121489041,44.78852808,99,0.023675993
OG0002257,9.124421935,110.5529616,73.72458962,0.029281438,0.02378317
