OG,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome,Total
OG0009521,1,1,1,1,1,5
OG0009525,1,1,1,1,1,5
OG0009527,1,1,1,1,1,5
OG0009532,1,1,1,1,1,5
OG0009533,1,1,1,1,1,5
OG0009535,1,1,1,1,1,5
OG0009537,1,1,1,1,1,5
OG0009539,1,1,1,1,1,5
OG0009540,1,1,1,1,1,5
OG0009541,1,1,1,1,1,5
OG0009542,1,1,1,1,1,5
OG0009543,1,1,1,1,1,5
OG0009544,1,1,1,1,1,5
OG0009545,1,1,1,1,1,5
OG0009546,1,1,1,1,1,5
OG0009547,1,1,1,1,1,5
OG0009548,1,1,1,1,1,5
OG0009549,1,1,1,1,1,5
OG0009553,1,1,1,1,1,5
OG0009554,1,1,1,1,1,5
OG0009555,1,1,1,1,1,5
OG0009556,1,1,1,1,1,5
OG0009559,1,1,1,1,1,5
OG0009560,1,1,1,1,1,5
OG0009562,1,1,1,1,1,5
OG0009563,1,1,1,1,1,5
OG0009564,1,1,1,1,1,5
OG0009565,1,1,1,1,1,5
OG0009567,1,1,1,1,1,5
OG0009574,1,1,1,1,1,5
OG0009578,1,1,1,1,1,5
OG0009579,1,1,1,1,1,5
OG0009580,1,1,1,1,1,5
OG0009581,1,1,1,1,1,5
OG0009583,1,1,1,1,1,5
OG0009584,1,1,1,1,1,5
OG0009586,1,1,1,1,1,5
OG0009587,1,1,1,1,1,5
OG0009589,1,1,1,1,1,5
OG0009591,1,1,1,1,1,5
OG0009592,1,1,1,1,1,5
OG0009594,1,1,1,1,1,5
OG0009597,1,1,1,1,1,5
OG0009598,1,1,1,1,1,5
OG0009602,1,1,1,1,1,5
OG0009604,1,1,1,1,1,5
OG0009605,1,1,1,1,1,5
OG0009608,1,1,1,1,1,5
OG0009616,1,1,1,1,1,5
OG0009617,1,1,1,1,1,5
OG0009618,1,1,1,1,1,5
OG0009622,1,1,1,1,1,5
OG0009624,1,1,1,1,1,5
OG0009625,1,1,1,1,1,5
OG0009626,1,1,1,1,1,5
OG0009629,1,1,1,1,1,5
OG0009630,1,1,1,1,1,5
OG0009631,1,1,1,1,1,5
OG0009634,1,1,1,1,1,5
OG0009635,1,1,1,1,1,5
OG0009636,1,1,1,1,1,5
OG0009639,1,1,1,1,1,5
OG0009640,1,1,1,1,1,5
OG0009642,1,1,1,1,1,5
OG0009643,1,1,1,1,1,5
OG0009644,1,1,1,1,1,5
OG0009645,1,1,1,1,1,5
OG0009647,1,1,1,1,1,5
OG0009648,1,1,1,1,1,5
OG0009649,1,1,1,1,1,5
OG0009650,1,1,1,1,1,5
OG0009652,1,1,1,1,1,5
OG0009654,1,1,1,1,1,5
OG0009658,1,1,1,1,1,5
OG0009659,1,1,1,1,1,5
OG0009663,1,1,1,1,1,5
OG0009664,1,1,1,1,1,5
OG0009665,1,1,1,1,1,5
OG0009668,1,1,1,1,1,5
OG0009669,1,1,1,1,1,5
OG0009670,1,1,1,1,1,5
OG0009671,1,1,1,1,1,5
OG0009673,1,1,1,1,1,5
OG0009674,1,1,1,1,1,5
OG0009676,1,1,1,1,1,5
OG0009678,1,1,1,1,1,5
OG0009680,1,1,1,1,1,5
OG0009681,1,1,1,1,1,5
OG0009682,1,1,1,1,1,5
OG0009683,1,1,1,1,1,5
OG0009686,1,1,1,1,1,5
OG0009687,1,1,1,1,1,5
OG0009690,1,1,1,1,1,5
