OG,Ofav_1,Ofav_2,Ofav_3,Ofav_4
OG0000681,291.682,386,589.229,627.972
OG0000682,1086.511,1009.648,1130.304,1121.838
OG0000683,546,584.999,1080.489,479.224
OG0000684,374.564,393.021,671.134,346
OG0000685,147,90,22,104
OG0000686,23,11,67,17
OG0000687,5,1,27,11
OG0000688,651,1022.127,526.053,1261.946
OG0000689,4720.935,4208.507,1803.428,3147.402
OG0000690,549.29,764.847,1106.169,629.081
OG0000691,135.912,162.385,238.234,92.073
OG0000693,200,287,381.844,222.351
OG0000694,13.196,16,37.597,10
OG0000695,105.015,218,316.135,148.142
OG0000697,3070.912,3668.305,4795.877,3038.922
OG0000699,1011.036,879.255,1624.721,642.985
OG0000700,239,323,669.042,354
OG0000704,5060.49,6224.215,2268.628,5720.457
OG0000705,2191.969,1204.842,495.376,1624.215
OG0000706,1282.626,588.955,350.814,970.82
OG0000709,728.509,570.134,1116.99,426.622
OG0000710,1652.793,2347.089,929.185,1660.49
OG0000711,486.594,553.999,1072.732,499.427
OG0000713,860.491,676.114,1173.428,381.013
OG0000714,61,86,47,112
OG0000715,1744.532,1667.634,730.425,2078.853
OG0000717,4,1,0,0
OG0000718,4,3,4,13
OG0000719,677.852,715.804,870.999,524.993
OG0000722,5625.569,10818.376,2245.233,17661.476
OG0000724,37,82,14,23
OG0000725,2188.396,1773.279,821.195,2922.769
OG0000728,29,10,1,22
OG0000730,6,35,0,5
OG0000731,58,81,19,50
OG0000732,760,633.486,309,736.272
OG0000734,224,273.802,128,318
OG0000736,984.303,829.406,1688.565,686.653
OG0000737,748.36,831,426.329,850.973
OG0000738,200.229,195.4,356.901,135.529
OG0000740,328.958,457.359,133.152,226.967
OG0000741,636.795,871.779,1023.985,495.002
OG0000742,319.952,300.007,514.394,241.763
OG0000743,335.934,428.486,860.476,461.386
OG0000745,20,25,16,35
OG0000746,13,0,1,6
OG0000748,1014.733,643.352,291.004,805.892
OG0000749,866.016,843.316,607.998,1073.875
OG0000750,631.41,1039,449.096,842.022
OG0000751,1325.063,1228.99,2387.353,948.356
OG0000752,846.363,560.837,320.968,471
OG0000754,726,876.002,274.632,661.978
OG0000756,27.502,47,16,34.754
OG0000757,11,35,20,32
OG0000758,155.94,154,82,282.783
OG0000759,205,183,307,124.973
OG0000760,2514.627,2703.108,2701.393,2309.133
OG0000762,2,0,0,2
OG0000763,7486.876,6838.137,13807.999,6490.162
OG0000764,1523.227,1622.566,3309.775,1736.466
OG0000765,81.357,193,39,41
OG0000767,936.786,928.031,1341.838,809.063
OG0000768,603.168,524.269,1017.957,431.995
OG0000769,1540.347,1455.843,2771.767,1141.086
OG0000770,488.984,372,154,483.739
OG0000771,9,19,0,0
OG0000772,2,7,0,3
OG0000773,1270.013,2212.998,976.962,2136.373
OG0000774,719.895,649.432,387,941.025
OG0000775,2,8,3,2
OG0000776,366.929,448.577,161.009,356
OG0000777,532,575.221,599.865,322.992
OG0000778,1004.036,977,1591.597,542.923
OG0000779,359.655,388.886,648.228,299
OG0000780,28,6,3,179
OG0000781,617.229,660.63,1043.313,489.945
OG0000782,2094.442,2018.108,4082.39,1672.937
OG0000783,12672.613,14803.553,9667.153,20504.51
OG0000784,15020.473,27992.389,9807.121,14940.65
OG0000785,294.458,308.974,657.842,232.368
OG0000787,847.872,1045,1900.512,986.997
OG0000789,92,169.029,47,154.302
OG0000790,26,54,31,51
OG0000791,31.858,45.507,7,43.177
OG0000792,280,267.008,126,469.007
OG0000794,38,48,15,29
OG0000795,1,5,0,0
OG0000796,4154.334,4320.772,7656.408,3609.099
OG0000798,19736.75,17741.452,26477.142,27078.349
OG0000799,30,69,29,83
OG0000801,592,489,877.276,334.041
OG0000802,27,29,42,33
OG0000803,420.493,552.959,851.34,372.18
OG0000805,892.005,715.003,406,1272.008
OG0000806,10,33,42,62
OG0000807,1276.77,1191.472,2385.627,1064.422
OG0000808,2131.801,1564.829,572.616,1545.108
OG0000809,2,0,0,1
OG0000810,14,12,22,11
OG0000811,2030.495,1820.985,3342.276,1318.599
OG0000812,1217.173,1361.495,2456.764,1096
OG0000813,23,53,100,45
OG0000815,137.964,292.936,180.571,168.079
OG0000817,581.674,792.009,293.987,667.414
OG0000818,3,8,5,2
OG0000819,11578.664,13292.029,6429.53,12890.72
OG0000821,1337.656,1519.17,770.542,1655.713
OG0000822,18.109,13,24,13.464
OG0000823,0,1,1,3
OG0000824,996.42,868.789,1035.103,803.794
OG0000825,1722.493,1734.286,852.78,2658.948
OG0000829,131,94,24.028,103
OG0000831,1808.192,2314.099,3826.683,1694.047
OG0000832,854,1369.027,570.07,1057.29
OG0000833,557.111,371.034,854.12,322
OG0000835,710.223,1255.758,677.59,1897.223
