OG,Past_1,Past_2,Past_3,Past_4
OG0000450,682.998,1113.156,959.175,2053.09
OG0000451,1125.001,1974.121,2981.339,5584.4
OG0000452,407,1057.486,849.041,2156.513
OG0000453,205,722.529,325.024,1738.434
OG0000454,493,1011.959,475.006,2836.882
OG0000455,40,149.182,123,419.002
OG0000456,163.998,379.67,189.068,947.453
OG0000457,291.898,725.207,551.459,1186.209
OG0000458,1139.126,3227.038,2177.007,6468.207
OG0000459,352,561.153,501.791,2134.94
OG0000461,23,43.259,16,48
OG0000462,14,24.582,19.039,9
OG0000463,1,8.351,2,5
OG0000464,45,68.401,35,239
OG0000465,640.209,1590.243,1227.936,5459.588
OG0000467,3,11.028,8,23
OG0000468,240,536.881,558.969,1328.412
OG0000469,18,11,38,178.989
OG0000471,50.157,90.146,35.069,383.871
OG0000474,656.162,1045.85,829.985,1461.812
OG0000475,376,645.912,505.005,1836.508
OG0000476,4645.212,10389.844,4649.286,18462.217
OG0000477,291,967.723,349,951.056
OG0000478,191,123.869,65,1182.471
OG0000479,1123.068,4214.828,2253.638,10090.593
OG0000480,1386.223,3676.275,2493.417,13739.116
OG0000481,369,519.886,621.205,2976.771
OG0000482,26,130.773,186.84,1540.174
OG0000483,2,3.004,0,1
OG0000484,594,1424.613,986.952,3477.857
OG0000485,30,49.426,27,155.001
OG0000486,150,268.315,206.5,545.169
OG0000487,710.769,3114.253,2121.721,4401.465
OG0000488,259,519.29,361.124,2294.525
OG0000489,311,725.203,433.601,1831.021
OG0000490,957.287,2155.024,1520.469,3188.665
OG0000492,342.058,152,224,288
OG0000493,0,1.997,0,5
OG0000494,2403.548,5789.424,2161.363,9812.942
OG0000495,492,1119.994,770.223,2083.936
OG0000496,595,586.412,427.578,1737.959
OG0000497,30,114.626,93,233.134
OG0000498,129,271.863,176,905.533
OG0000499,1396.457,1898.261,1599.628,3414.752
OG0000500,14,30.539,23,71
OG0000501,3273.168,6614.606,5530.264,6488.941
OG0000502,6,31.864,13,38
OG0000503,183.01,422.945,361,1455.574
OG0000504,139,397.434,341.346,788.071
OG0000505,47,115.708,91,970
OG0000506,988.753,2978.013,1786.189,3872.938
OG0000507,4,14.622,5,7
OG0000508,75,192.355,186,521.11
OG0000509,81,101.251,61,584.001
OG0000510,482.473,1186.384,683.244,5956.497
OG0000511,58,163.955,124,353.028
OG0000512,4165.152,10111.262,5095.207,16562.232
