OG,Ssid_1,Ssid_2,Ssid_3,Ssid_4
OG0000625,6,0,0,0
OG0000626,111,129,81,187
OG0000627,51,40,65,56
OG0000629,439,538,202,240.256
OG0000630,1015,1088,779,933.816
OG0000631,53,54,144,48
OG0000633,815,472.979,377,969
OG0000634,1913.446,1425.899,830.755,1440
OG0000636,1612.389,1728.363,1065.641,1073.422
OG0000637,698,432,345.999,305
OG0000638,8177.453,10456.785,6313.184,6396.934
OG0000639,7111.548,7094.208,4478.238,5775.001
OG0000640,0,0,5,0
OG0000641,20,72,34,13
OG0000642,262,286,268,243
OG0000644,10864.703,11871.801,7270.032,8607.208
OG0000645,22,0,1,7
OG0000646,14240.885,17051.205,10166.449,16227.361
OG0000647,85,35,38,25
OG0000648,165,436,292,418
OG0000649,484,711.99,302,396.146
OG0000650,16,23,17,74
OG0000652,1879,3155.001,1609.004,2041
OG0000653,2146.163,1016,842,707
OG0000656,46750.385,68490.653,31477.896,32732.355
OG0000657,818.041,858,454,648
OG0000658,201,193.348,139,85
OG0000659,119,142,63,69
OG0000660,9660.052,10461.994,6537.451,5955.002
OG0000661,7807.881,8107.667,4899.369,6828.951
OG0000663,568,435,887.726,686
OG0000664,62,67,18,66
OG0000665,224,237,242,233
OG0000666,127,299,90,102
OG0000669,7,20,10,10
OG0000670,8752.898,7888,6328.394,7543.161
OG0000672,1616,1866,1109.199,1429.006
OG0000674,532.973,590,1683.981,813.995
OG0000675,1083,1156.286,648,816.362
OG0000677,15.256,0,1,0
OG0000678,1010,2043.576,971,1180
OG0000679,1,0,0,0
OG0000682,1953.906,2126.346,1004.753,1423.732
OG0000683,2,0,0,0
OG0000684,14,1,0,0
OG0000685,61,31,54,42
OG0000687,3,14,14,7
OG0000688,750.451,855,493,587
OG0000689,6108.091,4551,4051.807,4149.007
OG0000691,624,697.318,540,466
OG0000692,9,12,2,12
OG0000693,64.645,124.036,305.183,155.119
OG0000694,1668.496,1691,1159.445,871.972
OG0000696,6,27,10,12
OG0000697,1655,1966.002,2106,1531.014
OG0000698,397.959,401,301,484
OG0000699,6,0,0,0
OG0000700,9186.237,12447.767,7824.793,7793.719
OG0000701,2106.826,1905.719,1139,1696
OG0000703,2,8,8,0
OG0000704,4190.023,4644.134,3254.786,3116
OG0000705,0,0,0,0
OG0000706,7103.585,4428.567,3569,3126.93
OG0000708,2236.794,2429.419,1280,1631
OG0000710,1142,2211.944,961,1276
OG0000711,25,33.58,40.677,25.314
OG0000713,67.999,108,272,129
OG0000714,382.69,406,247.174,329
OG0000715,1728.992,1812,1119,1325.661
OG0000717,8,11,2,8
OG0000718,4,0,4,6
OG0000721,1010,353,76,325
OG0000722,150,119,145,163
OG0000724,438.022,492.057,242.016,282
OG0000725,1430.761,1941.992,850,1109.002
OG0000728,34,11,26,7
OG0000730,539,705.004,502,549
OG0000731,72,74,48,38
OG0000732,859.021,1040.165,559.024,553
OG0000735,13,69,15,18
OG0000736,27.461,66.793,118.737,43
OG0000737,2183,1532.408,997,1968.7
OG0000738,0,0,0,0
OG0000739,394,703.997,254,208
OG0000740,2,13,0,1
OG0000741,14,3,2,0
OG0000742,17,37,63.982,52.005
OG0000743,12518.851,16159.73,7663.306,10833.415
OG0000744,9,9,13,16
OG0000745,180,181,62,126
OG0000746,1266.96,840.91,789,814
OG0000747,2,11,4,22
OG0000748,1695,3530.14,1245.99,2276.02
OG0000749,1865.92,1755.289,1772.988,1911.983
OG0000750,661.011,692,625,584.172
OG0000752,632,678,492,629
OG0000753,668,949,571,748
OG0000754,903,848,628.885,665
OG0000755,278,140,153,178
OG0000756,17,13,13,27
OG0000757,42,37,27,59
OG0000758,309,297,205,230
OG0000759,455,560,465,594
OG0000760,2036,2385.997,1198.635,1548.606
OG0000762,7,5,0,10.895
OG0000763,3.756,1,0,0
OG0000765,19,13,7,5
OG0000766,194,325,450,584
OG0000767,217,272,131,158
OG0000768,1,0,0,0
OG0000769,4,0,0,0
OG0000770,82,68,68,41
OG0000771,120,74,78,53
OG0000773,158,206,186,254.866
OG0000774,1261.046,1445.062,995.575,1159
OG0000775,18,18,11,47
OG0000776,274.072,280.006,192,187
OG0000777,371,741,421,251.184
OG0000782,0,0,0,0
OG0000783,20245.09,24024.23,14858.345,14946.386
OG0000784,5576,8767.804,3895,4742.008
OG0000786,12,2,22,15
OG0000788,8547.346,4422,5034.936,3576.807
OG0000790,30,49,10,18
OG0000791,1,0,1,1
OG0000792,53,79,15,25
OG0000794,1,2,6,0
OG0000797,13,33,46,48
OG0000799,82,31,31,62
OG0000800,24,74,66,15
OG0000802,26,39.744,50,43
OG0000803,6,0,1,0
OG0000804,81,249,43,167
OG0000805,50,288.89,93,110
OG0000806,72,208,40,251
OG0000808,1004.316,791.448,507,1149
OG0000811,8,0,0,0
OG0000813,236,332,189,172.018
OG0000814,181,148,117,370.195
OG0000815,348,185,125,442
OG0000817,1037,1240,826.33,763
OG0000818,2143.996,1285,482,766
OG0000819,8414.965,9786.593,6753.921,7093.8
OG0000820,22,22,11,51
OG0000821,610.332,756,478,791
OG0000822,0,0,0,5.84
OG0000823,99,53,78,17
OG0000824,1957.329,2633,1155.996,1722.001
OG0000825,111,202,97,79
OG0000826,348,471,205,231
OG0000828,10,17,6,8
OG0000829,724.474,1023.201,378,389
OG0000830,4589.53,1338.12,1397,1664.997
OG0000832,2252,2306,1547.299,2182.877
OG0000833,182,172,147,173
OG0000834,360,215,296.936,258
OG0000835,404,376,533.981,494.073
OG0000836,304,53,42,18
OG0000837,716,785,956.064,1368.487
OG0000838,14213.26,15522.523,9729.964,11510.052
OG0000839,2004.517,2437.97,747,1149.617
OG0000840,271.153,448.004,216.266,202.859
OG0000841,94,185,198.111,101
OG0000842,651.959,625,290,346
OG0000844,477,486,391,410
OG0000845,195,171,112,173
OG0000846,8546.944,10027.222,6263.513,7882.199
OG0000848,1643.993,1730.501,1026,1173
OG0000849,198,267,105,159
OG0000850,32,95,35,16
OG0000851,416.107,249.992,77,58
OG0000852,7383.231,8031.025,5487.372,5399.054
OG0000853,543,644.973,395,442
OG0000854,33,28,43,75
OG0000855,540.007,709.211,411.904,365.12
OG0000856,107.005,135,60.999,141
OG0000857,716,1132,634,1137.99
OG0000858,42,49,51.82,57
OG0000860,569,1533.819,387,669
OG0000863,350,249,148,275
OG0000864,6423.298,5903.642,1678.937,1971.092
OG0000865,106.259,366,47,452
OG0000868,109,120,112,132
OG0000869,12878.793,16125.927,8606.075,11537.706
OG0000870,7206.047,10509.826,6917.862,7011.995
OG0000871,57,50,129,150
OG0000873,1,0,271,12
OG0000875,591,926,450.998,486
OG0000876,143,99,57,138
OG0000878,15.038,16.953,38.037,37.673
OG0000881,35,146,19,58
OG0000883,0,0,0,0
OG0000889,1274,927.07,711,926.944
OG0000890,83,97,119,89
OG0000894,158,370,115,279
OG0000895,43,59,41,47
OG0000899,304,31,106,166
OG0000900,1,75,25,27
OG0000901,36,17,48,42
OG0000903,5381.974,4861.998,2485,3284.915
OG0000904,262,270,164,217
OG0000905,377.991,530.201,361,354
OG0000906,31,42,15,18
OG0000908,256.006,497,223,221
OG0000909,350,390,162,278
OG0000910,63,20,46,36
OG0000911,3135.998,4704.001,1555.017,2321.983
OG0000912,428,600.99,309,341
OG0000913,1,44,36,30
OG0000915,203,321,296,132
OG0000916,79,2,7,1
OG0000917,139,90,51,82
OG0000918,811,913,563.354,648
OG0000919,3926.426,5173.503,3751.003,3012.522
OG0000920,4549.995,4592.512,2624,3483.1
OG0000923,1332,1489,963.03,1361.023
OG0000924,22,31,61,32
OG0000925,543.62,670,517,565
OG0000927,2384.083,4321.997,1659.243,1656.345
OG0000928,147,195,139,170
OG0000929,385,418,150,429
OG0000933,134,155,82,179
OG0000937,262,277,54,120
OG0000938,16.04,22.175,35.893,28.955
OG0000939,5507.166,980,188,690
OG0000941,1,0,0,0
OG0000942,39,88,27,16
OG0000943,157,178.003,86,69
OG0000945,454.596,566,268,352.609
OG0000947,345,589,128,38
OG0000949,323,95,27,154
OG0000950,20,54,5,23
OG0000951,7379.869,6311.997,4652.28,5960.001
OG0000954,127,102,41,61
OG0000956,3647.635,7464.784,4153.558,3237
OG0000957,5.718,7.682,13.239,1.484
OG0000959,1168.681,1168.952,829.347,1177
OG0000960,132,61,82,194
OG0000961,695,1607.999,446.501,629
OG0000962,77,98,56,65
OG0000963,341.819,372.334,221,138
OG0000964,175.118,218,120,117
OG0000965,0,0,0,0
OG0000966,96,232,65,87
OG0000967,305,404,198,171
OG0000968,269,652,146,485
OG0000970,1663.22,2260,1280.566,1618
OG0000972,92,115,38,70
OG0000975,6437.63,8018.816,5279.126,7417.987
OG0000976,175,161,124,130
OG0000977,12,1,1,0
OG0000978,1471.101,1254,752,871.994
OG0000979,171,236,177,202
OG0000981,2681.848,4551.98,3865,4898.286
OG0000983,32,62,38,24
OG0000984,4395.735,3126.002,2520.968,3706
OG0000985,13,25,31,5
OG0000986,979,1226,360,448.648
OG0000987,241,244.235,136.236,189
OG0000988,611,1505.261,616.902,732
OG0000989,284,362.989,269,558
OG0000990,2782.973,3131.002,1923.106,2213.676
OG0000991,114,111,149,115
OG0000992,665.574,947,709.909,509
OG0000993,170,209,124,179
OG0000994,5072.496,4917.976,3979.508,4075.118
OG0000996,306.93,436,236,260
OG0000999,2442,5469.471,2634,4288.959
OG0001001,53,50,40,38
OG0001002,268,429,233,207
OG0001003,36,42,43,30
OG0001005,9,14,21,11
OG0001006,101,114,121,113
OG0001007,416,646.004,292,245
OG0001012,3,4,9,10.265
OG0001015,1053,1109.968,576,868.036
OG0001019,346,427,204,222
OG0001020,0,0,0,0
OG0001021,444,427,384.701,451
OG0001026,44,2,5,0
OG0001028,7,11,7,21
OG0001030,225,164,58,84
OG0001033,1425.002,1830.975,1153,926
OG0001034,4649.341,4195.739,3545.998,2761
OG0001035,868,792.001,840.016,800
OG0001039,1.303,0,0,0
OG0001040,23,49.187,47,47
OG0001041,17720.486,24367.993,14217.027,12029.536
OG0001043,3113.814,3899,2558.246,3178
OG0001044,583.96,463,366,597
OG0001045,90,25,46,50
OG0001046,1,0,0,0
OG0001047,132,120,311.084,274.009
OG0001050,3,3,2,1
OG0001051,10,22,9,13
OG0001052,422.361,586,249,408
OG0001054,1114,2022,619,737
OG0001055,0,1,0,0
OG0001056,2,3,11,8
OG0001057,30,46,34,32
OG0001059,1.179,1,3,5
OG0001060,102,52,38,77
OG0001062,0,2,0,0
OG0001063,1,17,6,4
OG0001064,140,239,532,305.886
OG0001065,43,109,41,226
OG0001067,76,75,50,48
OG0001070,502,578.491,218,387.335
OG0001071,0,0,2,5
OG0001072,1117,1053,628.029,740.618
OG0001073,96,144,85,71
OG0001075,1838,2469,1548,1437
OG0001078,12.179,0,0,0
OG0001082,122,21,0,0
OG0001083,919.932,1582.626,665,906.029
OG0001089,20,33,23,5
OG0001090,853.001,220,279,197
OG0001093,480,634.79,367.024,421
OG0001095,1738,3814,1867,1144
OG0001096,18,23,30,16
OG0001097,196,164,120,275
